,tucaseid,erbmi,erincome,ertpreat,ertseat,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eusnap,eugenhth,eugroshp,euhgt,euinclvl,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,bmi_class
19694,20151009151482,21.9,1.0,70.0,13.0,,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,69,6,1.0,2.0,1.0,2.0,1.0,2.0,1.0,148,1
19695,20151009151484,27.8,2.0,90.0,60.0,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,72,7,1.0,2.0,1.0,2.0,1.0,3.0,2.0,205,1
19696,20151009151486,61.6,5.0,55.0,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,59,6,,,2.0,,,,,305,2
19698,20151009151490,21.0,1.0,90.0,5.0,,2.0,1.0,1.0,5.0,2.0,,,2.0,2.0,2.0,1.0,66,7,1.0,2.0,1.0,,2.0,2.0,2.0,130,1
19699,20151009151494,23.7,1.0,15.0,20.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,72,6,1.0,2.0,1.0,2.0,2.0,2.0,2.0,175,1
19700,20151009151497,24.8,1.0,70.0,123.0,,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,70,6,1.0,2.0,1.0,2.0,1.0,4.0,1.0,173,1
19701,20151009151499,22.6,1.0,60.0,,,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,66,7,1.0,2.0,1.0,,1.0,2.0,2.0,140,1
19702,20151009151502,37.9,5.0,50.0,,,2.0,2.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,66,6,1.0,2.0,1.0,,2.0,6.0,2.0,235,2
19703,20151009151503,30.7,5.0,85.0,10.0,,1.0,1.0,1.0,3.0,2.0,,,1.0,2.0,4.0,1.0,71,6,1.0,2.0,1.0,2.0,1.0,2.0,2.0,220,2
19704,20151009151506,25.1,5.0,120.0,180.0,,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,5.0,1.0,69,6,1.0,2.0,1.0,2.0,1.0,3.0,2.0,170,1
19705,20151009151507,48.8,1.0,31.0,10.0,2.0,1.0,1.0,2.0,,2.0,,,1.0,2.0,3.0,2.0,70,6,,,2.0,1.0,,,,340,2
19706,20151009151510,23.8,1.0,180.0,,2.0,1.0,2.0,2.0,,1.0,3.0,2.0,1.0,2.0,2.0,2.0,74,6,1.0,2.0,1.0,1.0,,,1.0,185,1
19707,20151009151513,22.0,1.0,90.0,,,2.0,2.0,1.0,5.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,68,6,1.0,2.0,1.0,,1.0,2.0,2.0,145,1
19708,20151009151514,37.0,5.0,120.0,,,2.0,2.0,2.0,,1.0,7.0,1.0,1.0,2.0,3.0,1.0,71,6,2.0,2.0,1.0,,1.0,2.0,,265,2
19709,20151009151520,60.2,1.0,25.0,20.0,,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,63,6,2.0,2.0,1.0,2.0,1.0,1.0,,340,2
19710,20151009151521,29.2,5.0,20.0,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,64,6,1.0,2.0,1.0,,1.0,1.0,2.0,170,1
19711,20151009151525,20.8,2.0,120.0,10.0,,1.0,1.0,2.0,,2.0,,,1.0,2.0,2.0,2.0,74,6,,,2.0,2.0,,,,162,1
19712,20151009151527,36.3,1.0,15.0,30.0,,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,63,6,1.0,2.0,1.0,2.0,1.0,6.0,1.0,205,2
19713,20151009151531,25.6,5.0,240.0,10.0,,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,62,6,1.0,2.0,1.0,2.0,1.0,1.0,2.0,140,1
19714,20151009151535,22.0,1.0,60.0,10.0,,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,2.0,5.0,2.0,63,6,,,2.0,2.0,,,,124,1
19715,20151009151537,17.4,1.0,40.0,38.0,,1.0,1.0,1.0,5.0,2.0,,,1.0,2.0,3.0,2.0,63,6,,,2.0,2.0,,,,98,1
19716,20151009151542,33.7,1.0,60.0,60.0,,2.0,1.0,2.0,,1.0,4.0,2.0,1.0,2.0,2.0,3.0,67,6,1.0,2.0,3.0,,2.0,4.0,1.0,215,2
19717,20151009151546,20.5,,140.0,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,62,7,2.0,2.0,1.0,2.0,,,,112,1
19718,20151009151547,40.3,1.0,90.0,10.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,66,6,,,2.0,1.0,,,,250,2
19719,20151009151552,28.3,1.0,90.0,10.0,,1.0,1.0,1.0,5.0,2.0,,,1.0,2.0,2.0,1.0,63,6,1.0,2.0,1.0,2.0,1.0,5.0,2.0,160,1
19720,20151009151556,33.5,5.0,15.0,,,2.0,2.0,2.0,,2.0,,,1.0,1.0,4.0,1.0,67,6,1.0,2.0,1.0,,1.0,4.0,2.0,214,2
19721,20151009151558,34.4,1.0,10.0,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,70,6,1.0,2.0,1.0,,1.0,1.0,2.0,240,2
19722,20151009151561,28.2,1.0,60.0,10.0,2.0,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,2.0,2.0,1.0,74,6,1.0,2.0,1.0,1.0,1.0,1.0,2.0,220,1
19723,20151009151570,19.2,5.0,120.0,15.0,,1.0,1.0,1.0,7.0,2.0,,,1.0,2.0,2.0,2.0,69,6,1.0,2.0,1.0,2.0,,,2.0,130,1
19724,20151009151571,45.7,1.0,75.0,,,2.0,2.0,1.0,2.0,2.0,,,1.0,2.0,3.0,1.0,62,6,1.0,2.0,1.0,,1.0,2.0,2.0,250,2
19725,20151009151572,30.4,5.0,10.0,15.0,2.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,5.0,1.0,68,6,2.0,2.0,1.0,1.0,1.0,1.0,,200,2
19726,20151009151574,30.9,5.0,,,2.0,1.0,2.0,1.0,7.0,2.0,,,1.0,2.0,1.0,1.0,64,6,2.0,2.0,1.0,1.0,1.0,2.0,,180,2
19727,20151009151578,31.0,1.0,45.0,5.0,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,66,6,1.0,2.0,3.0,,1.0,6.0,2.0,192,2
19728,20151009151583,29.0,3.0,70.0,,,2.0,2.0,1.0,3.0,2.0,,,1.0,2.0,3.0,1.0,70,6,1.0,2.0,1.0,,2.0,6.0,2.0,202,1
19729,20151009151585,33.3,1.0,60.0,,,1.0,2.0,1.0,7.0,1.0,1.0,,1.0,2.0,2.0,1.0,65,6,1.0,2.0,1.0,2.0,2.0,5.0,2.0,200,2
19730,20151009151589,33.9,5.0,60.0,,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,72,6,,,2.0,1.0,,,,250,2
19731,20151009151590,26.6,5.0,30.0,,,2.0,2.0,1.0,7.0,2.0,,,1.0,1.0,1.0,1.0,67,6,1.0,2.0,1.0,,2.0,2.0,2.0,170,1
19732,20151009151591,27.3,1.0,50.0,,,1.0,2.0,2.0,,2.0,,,1.0,2.0,2.0,1.0,70,6,2.0,2.0,3.0,2.0,1.0,4.0,,190,1
19734,20151009151597,24.4,1.0,75.0,,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,2.0,2.0,2.0,72,7,1.0,2.0,3.0,1.0,,,2.0,180,1
19735,20151009151606,29.6,1.0,10.0,15.0,,1.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,68,6,,,2.0,2.0,,,,195,1
